State/UT,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
Telangana,Bhongir,14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,222170
Telangana,Chevella,10,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,DR GADDAM RANJITH REDDY,Indian National Congress,172897
Telangana,Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,338087
Telangana,Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,VELCHALA RAJENDER RAO,Indian National Congress,225209
Telangana,Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,467847
Telangana,Mahabubabad,16,BALRAM NAIK PORIKA,Indian National Congress,KAVITHA MALOTH,Bharat Rashtra Samithi,349165
Telangana,Mahbubnagar,11,ARUNA. D. K,Bharatiya Janata Party,CHALLA VAMSHI CHAND REDDY,Indian National Congress,4500
Telangana,Malkajgiri,7,EATALA RAJENDER,Bharatiya Janata Party,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,391475
Telangana,Medak,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,NEELAM MADHU,Indian National Congress,39139
Telangana,Nagarkurnool,12,DR.MALLU RAVI,Indian National Congress,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,94414
Telangana,Nalgonda,13,KUNDURU RAGHUVEER,Indian National Congress,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905
Telangana,Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,JEEVANREDDY THATIPARTHI,Indian National Congress,109241
Telangana,Peddapalle,2,VAMSI KRISHNA GADDAM,Indian National Congress,SRINIVAS GOMASE,Bharatiya Janata Party,131364
Telangana,Secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944
Telangana,Warangal,15,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339
Telangana,Zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188
Tripura,Tripura East,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819
Tripura,Tripura West,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578
Uttar Pradesh,Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,271294
Uttar Pradesh,Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,44345
Uttar Pradesh,Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,15647
Uttar Pradesh,Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,58795
Uttar Pradesh,Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,137247
Uttar Pradesh,Amethi,37,KISHORI LAL,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,167196
Uttar Pradesh,Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,KUNWAR DANISH ALI,Indian National Congress,28670
Uttar Pradesh,Aonla,24,NEERAJ MAURYA,Samajwadi Party,DHARMENDRA KASHYAP,Bharatiya Janata Party,15969
Uttar Pradesh,Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,161035
Uttar Pradesh,Badaun,23,ADITYA YADAV,Samajwadi Party,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,34991
Uttar Pradesh,Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,AMARPAL,Samajwadi Party,159459
Uttar Pradesh,Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,RAMESH CHANDRA,Samajwadi Party,64227
Uttar Pradesh,Ballia,72,SANATAN PANDEY,Samajwadi Party,NEERAJ SHEKHAR,Bharatiya Janata Party,43384
Uttar Pradesh,Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,R. K. SINGH PATEL,Bharatiya Janata Party,71210
Uttar Pradesh,Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,SADAL PRASAD,Indian National Congress,3150
Uttar Pradesh,Barabanki,53,TANUJ PUNIA,Indian National Congress,RAJRANI RAWAT,Bharatiya Janata Party,215704
Uttar Pradesh,Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,PRAVEEN SINGH ARON,Samajwadi Party,34804
Uttar Pradesh,Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994
Uttar Pradesh,Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072
Uttar Pradesh,Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,DEEPAK,Samajwadi Party,37508
Uttar Pradesh,Bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,SHIVRAM,Indian National Congress,275134
Uttar Pradesh,Chandauli,76,BIRENDRA SINGH,Samajwadi Party,DR. MAHENDRA NATH PANDEY,Bharatiya Janata Party,21565
Uttar Pradesh,Deoria,66,SHASHANK MANI,Bharatiya Janata Party,AKHILESH PRATAP SINGH,Indian National Congress,34842
Uttar Pradesh,Dhaurahra,29,ANAND BHADAURIYA,Samajwadi Party,REKHA VERMA,Bharatiya Janata Party,4449
Uttar Pradesh,Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,42728
Uttar Pradesh,Etah,22,DEVESH SHAKYA,Samajwadi Party,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,28052
Uttar Pradesh,Etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,58419
Uttar Pradesh,Faizabad,54,AWADHESH PRASAD,Samajwadi Party,LALLU SINGH,Bharatiya Janata Party,54567
Uttar Pradesh,Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,2678
Uttar Pradesh,Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,NIRANJAN JYOTI,Bharatiya Janata Party,33199
Uttar Pradesh,Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,RAMNATH SINGH SIKARWAR,Indian National Congress,43405
Uttar Pradesh,Firozabad,20,AKSHAYA YADAV,Samajwadi Party,VISHWADEEP SINGH,Bharatiya Janata Party,89312
Uttar Pradesh,Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,559472
Uttar Pradesh,Ghaziabad,12,ATUL GARG,Bharatiya Janata Party,DOLLY SHARMA,Indian National Congress,336965
Uttar Pradesh,Ghazipur,75,AFZAL ANSARI,Samajwadi Party,PARS NATH RAI,Bharatiya Janata Party,124861
Uttar Pradesh,Ghosi,70,RAJEEV RAI,Samajwadi Party,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,162943
Uttar Pradesh,Gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,SHREYA VERMA,Samajwadi Party,46224
Uttar Pradesh,Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,KAJAL NISHAD,Samajwadi Party,103526
Uttar Pradesh,Hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629
Uttar Pradesh,Hardoi,31,JAI PRAKASH,Bharatiya Janata Party,USHA VERMA,Samajwadi Party,27856
Uttar Pradesh,Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,JASVEER VALMIKI,Samajwadi Party,247318
Uttar Pradesh,Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898
Uttar Pradesh,Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335
Uttar Pradesh,Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614
Uttar Pradesh,Kairana,2,IQRA CHOUDHARY,Samajwadi Party,PRADEEP KUMAR,Bharatiya Janata Party,69116
Uttar Pradesh,Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,BHAGAT RAM,Samajwadi Party,148843
Uttar Pradesh,Kannauj,42,AKHILESH YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922
Uttar Pradesh,Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968
Uttar Pradesh,Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944
Uttar Pradesh,Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329
Uttar Pradesh,Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790
Uttar Pradesh,Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023
Uttar Pradesh,Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159
Uttar Pradesh,Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850
Uttar Pradesh,Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451
Uttar Pradesh,Mainpuri,21,DIMPLE YADAV,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639
Uttar Pradesh,Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407
Uttar Pradesh,Meerut,10,ARUN GOVIL,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585
Uttar Pradesh,Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810
Uttar Pradesh,Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406
Uttar Pradesh,Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,KAUSHAL KISHORE,Bharatiya Janata Party,70292
Uttar Pradesh,Moradabad,6,RUCHI VIRA,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762
Uttar Pradesh,Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672
Uttar Pradesh,Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473
Uttar Pradesh,Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332
Uttar Pradesh,Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935
Uttar Pradesh,Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206
Uttar Pradesh,Rae Bareli,36,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030
Uttar Pradesh,Rampur,7,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434
Uttar Pradesh,Robertsganj,80,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234
Uttar Pradesh,Saharanpur,1,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542
Uttar Pradesh,Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573
Uttar Pradesh,Sambhal,8,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494
Uttar Pradesh,Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170
Uttar Pradesh,Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379
Uttar Pradesh,Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673
Uttar Pradesh,Sitapur,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641
Uttar Pradesh,Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174
Uttar Pradesh,Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818
Uttar Pradesh,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513
Uttarakhand,Almora,3,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097
Uttarakhand,Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,GANESH GODIYAL,Indian National Congress,163503
Uttarakhand,Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,VIRENDRA RAWAT,Indian National Congress,164056
Uttarakhand,Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548
Uttarakhand,Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493
West Bengal,Alipurduars,2,MANOJ TIGGA,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447
West Bengal,Arambagh,29,BAG MITALI,All India Trinamool Congress,ARUP KANTI DIGAR,Bharatiya Janata Party,6399
West Bengal,Asansol,40,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,59564
West Bengal,Baharampur,10,PATHAN YUSUF,All India Trinamool Congress,ADHIR RANJAN CHOWDHURY,Indian National Congress,85022
West Bengal,Balurghat,6,SUKANTA MAJUMDAR,Bharatiya Janata Party,BIPLAB MITRA,All India Trinamool Congress,10386
West Bengal,Bangaon,14,SHANTANU THAKUR,Bharatiya Janata Party,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,73693
West Bengal,Bankura,36,ARUP CHAKRABORTY,All India Trinamool Congress,DR. SUBHAS SARKAR,Bharatiya Janata Party,32778
West Bengal,Barasat,17,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,SWAPAN MAJUMDER,Bharatiya Janata Party,114189
West Bengal,Bardhaman Purba,38,DR. SHARMILA SARKAR,All India Trinamool Congress,ASIM KUMAR SARKAR,Bharatiya Janata Party,160572
West Bengal,Bardhaman-Durgapur,39,AZAD KIRTI JHA,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,137981
West Bengal,Barrackpur,15,PARTHA BHOWMICK,All India Trinamool Congress,ARJUN SINGH,Bharatiya Janata Party,64438
West Bengal,Basirhat,18,SK NURUL ISLAM,All India Trinamool Congress,REKHA PATRA,Bharatiya Janata Party,333547
West Bengal,Birbhum,42,SATABDI ROY,All India Trinamool Congress,DEBTANU BHATTACHARYA,Bharatiya Janata Party,197650
West Bengal,Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,SUJATA MONDAL,All India Trinamool Congress,5567
West Bengal,Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,PIYA SAHA,Bharatiya Janata Party,327253
West Bengal,Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,NISITH PRAMANIK,Bharatiya Janata Party,39250
West Bengal,Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,GOPAL LAMA,All India Trinamool Congress,178525
West Bengal,Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930
West Bengal,Dum dum,16,SOUGATA RAY,All India Trinamool Congress,SILBHADRA DATTA,Bharatiya Janata Party,70660
West Bengal,Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,182868
West Bengal,Hooghly,28,RACHNA BANERJEE,All India Trinamool Congress,LOCKET CHATTERJEE,Bharatiya Janata Party,76853
West Bengal,Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,169442
West Bengal,Jadavpur,22,SAYANI GHOSH,All India Trinamool Congress,DR. ANIRBAN GANGULY,Bharatiya Janata Party,258201
West Bengal,Jalpaiguri,3,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,NIRMAL CHANDRA ROY,All India Trinamool Congress,86693
West Bengal,Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,MURTOJA HOSSAIN BOKUL,Indian National Congress,116637
West Bengal,Jhargram,33,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,DR. PRANAT TUDU,Bharatiya Janata Party,174048
West Bengal,Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,ASHOK KANDARY,Bharatiya Janata Party,470219
West Bengal,Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764
West Bengal,Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231
West Bengal,Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,TAPAS ROY,Bharatiya Janata Party,92560
West Bengal,Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,AMRITA ROY,Bharatiya Janata Party,56705
West Bengal,Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368
West Bengal,Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,PRASUN BANERJEE,All India Trinamool Congress,77708
West Bengal,Mathurapur,20,BAPI HALDAR,All India Trinamool Congress,ASHOK PURKAIT,Bharatiya Janata Party,201057
West Bengal,Medinipur,34,JUNE MALIAH,All India Trinamool Congress,AGNIMITRA PAUL,Bharatiya Janata Party,27191
West Bengal,Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,MD SALIM,Communist Party of India (Marxist),164215
West Bengal,Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079
West Bengal,Raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197
West Bengal,Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899
West Bengal,Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830
West Bengal,Tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733
West Bengal,Uluberia,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673
